document_id,page_index,vector_grid_detected,aligned_numeric_rows,detector_status,verification_status,notes
INE001B01026_2012,0,True,4,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=4"
INE001B01026_2012,1,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,2,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,3,True,5,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=5"
INE001B01026_2012,4,True,0,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=0"
INE001B01026_2012,5,True,0,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=0"
INE001B01026_2012,6,True,6,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=6"
INE001B01026_2012,7,True,0,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=0"
INE001B01026_2012,8,True,0,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=0"
INE001B01026_2012,9,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,10,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,11,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,12,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,13,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,14,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,15,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,16,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,17,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,18,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,19,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,20,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,21,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,22,True,3,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=3"
INE001B01026_2012,23,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,24,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,25,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,26,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,27,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,28,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,29,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,30,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,31,True,3,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=3"
INE001B01026_2012,32,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,33,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,34,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,35,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,36,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,37,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,38,True,3,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=3"
INE001B01026_2012,39,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,40,True,19,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=19"
INE001B01026_2012,41,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,42,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,43,True,5,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=5"
INE001B01026_2012,44,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,45,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,46,True,4,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=4"
INE001B01026_2012,47,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,48,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,49,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,50,True,4,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=4"
INE001B01026_2012,51,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,52,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,53,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,54,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,55,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,56,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,57,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,58,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,59,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,60,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,61,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,62,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,63,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,64,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,65,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,66,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,67,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
INE001B01026_2012,68,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,69,True,3,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=3"
INE001B01026_2012,70,True,1,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=1"
INE001B01026_2012,71,True,2,CANDIDATE,NOT_REVIEWED,"grid=True, numeric_rows=2"
